,User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
8164,1004918,P00005042,F,18-25,12,C,1,0,6,16.0,,20074
8165,1001809,P00248542,F,26-35,14,C,0,1,8,16.0,,3975
8168,1001806,P00248342,M,18-25,4,B,1,0,8,13.0,,9700
8169,1002589,P00213242,M,26-35,0,C,3,0,5,8.0,,8904
8170,1002409,P00327842,F,36-45,9,B,3,1,8,16.0,,9711
8171,1001269,P00184942,F,55+,13,C,2,1,1,8.0,17.0,19083
8172,1003101,P00208342,M,18-25,15,C,0,0,1,16.0,,15715
8173,1001150,P00226542,F,26-35,20,A,1,0,1,5.0,,8060
8174,1002271,P00274242,M,51-55,14,A,1,0,1,,,15565
8175,1003981,P00102442,F,46-50,0,C,3,1,8,,,2124
8176,1003720,P00268542,M,46-50,7,C,1,0,5,,,2054
8178,1001146,P00070042,F,18-25,16,B,2,1,1,2.0,16.0,11702
8179,1004042,P00332242,M,36-45,15,B,3,1,1,16.0,,15662
8180,1002242,P00147742,M,18-25,4,A,2,0,1,16.0,,15387
8181,1002171,P00354142,M,36-45,0,A,3,0,6,8.0,,16257
8184,1001499,P00362442,M,0-17,10,C,1,0,5,,,7107
8185,1000663,P00140742,F,26-35,7,A,1,0,1,15.0,,11686
8186,1002271,P00278242,M,51-55,14,A,1,0,1,,,11928
8188,1001508,P00237542,F,0-17,10,C,4+,0,1,15.0,16.0,19376
8189,1002190,P00210042,F,26-35,15,B,1,1,8,14.0,,10028
8190,1000237,P00334242,M,26-35,6,C,1,1,1,8.0,,19051
8192,1002060,P00033542,M,0-17,1,C,3,0,5,,,5170
8193,1005964,P00057442,M,18-25,5,B,1,0,5,14.0,16.0,3454
8194,1000549,P00086942,M,26-35,6,A,3,0,16,,,16852
8195,1002090,P00048942,M,36-45,17,C,2,0,1,4.0,,15782
8196,1000476,P00217142,M,36-45,0,B,0,0,1,15.0,,15379
8199,1005126,P00040442,M,26-35,11,B,4+,0,5,14.0,,6959
8201,1005755,P00048042,F,36-45,2,B,1,0,1,6.0,8.0,19425
8202,1002619,P00031042,M,36-45,12,C,1,0,8,,,10035
8203,1000753,P00186242,M,0-17,10,C,1,0,4,5.0,,2862
8204,1002796,P00004742,M,26-35,14,B,3,0,6,16.0,,12678
8206,1003090,P00070942,M,26-35,2,C,4+,0,3,5.0,16.0,13634
8207,1000882,P00110742,M,18-25,2,C,4+,0,1,2.0,8.0,19586
8208,1001107,P00034242,F,51-55,1,C,1,1,5,8.0,14.0,5212
8209,1005441,P00139942,M,51-55,7,C,0,1,5,,,3568
8212,1004942,P00165442,M,46-50,12,B,3,1,1,15.0,16.0,11754
8214,1005493,P00134342,M,36-45,12,B,3,0,5,,,8882
8215,1000352,P00114142,M,18-25,4,A,0,0,8,,,8120
8216,1002063,P00148342,M,26-35,4,A,3,0,5,,,5443
8217,1005450,P00130642,M,18-25,12,A,1,0,11,16.0,,4434
8218,1000216,P00347142,M,46-50,13,B,1,0,5,,,3584
8219,1000125,P00352142,M,46-50,14,B,3,1,1,6.0,16.0,11720
8220,1001265,P00265242,F,18-25,20,B,0,1,5,8.0,,8691
8221,1003971,P00213242,F,18-25,4,B,0,0,5,8.0,,8726
8223,1000149,P00041042,M,26-35,1,B,2,1,1,16.0,,8202
8224,1000702,P00127942,M,36-45,7,B,2,1,1,2.0,5.0,4061
8226,1004510,P00274842,M,46-50,7,A,4+,1,1,6.0,16.0,12088
8227,1004064,P00190142,M,46-50,0,A,1,1,3,4.0,5.0,13297
8228,1001204,P00142142,M,26-35,7,B,4+,0,1,2.0,15.0,19420
8229,1004810,P00155442,M,18-25,12,B,0,0,1,11.0,15.0,11949
8230,1000118,P00259342,M,36-45,17,C,4+,0,5,9.0,,5389
8232,1003167,P00355142,M,26-35,2,C,3,0,1,15.0,,12024
8233,1001439,P00084842,M,36-45,3,C,1,1,8,16.0,,7973
8234,1002772,P00105342,M,36-45,17,A,3,1,1,2.0,15.0,11856
8235,1002459,P00135142,M,51-55,7,A,1,1,13,16.0,,744
8236,1001119,P00368242,M,36-45,1,B,2,1,5,11.0,,7141
8237,1005100,P00121442,M,51-55,6,B,1,1,8,,,8128
8239,1005434,P00108842,F,26-35,7,A,1,1,5,15.0,,8623
8240,1004238,P00014642,M,36-45,16,B,3,0,8,14.0,17.0,8092
8241,1000159,P00237642,F,46-50,0,A,1,1,5,14.0,,6959
8242,1003032,P00368242,M,26-35,0,A,1,1,5,11.0,,8820
8245,1002002,P00210042,F,55+,13,C,2,1,8,14.0,,8096
8246,1003868,P00052842,M,18-25,12,C,0,0,10,15.0,,18718
8247,1001733,P00125842,M,18-25,14,B,0,1,11,16.0,,4470
8249,1002786,P00115342,M,26-35,4,A,2,0,5,8.0,14.0,5148
8250,1002955,P00219242,M,36-45,14,C,3,0,4,5.0,,3425
8251,1002124,P00246042,M,26-35,0,B,1,1,15,,,12823
8252,1004491,P00148842,M,18-25,4,C,3,0,6,8.0,16.0,20649
8253,1003403,P00312342,M,36-45,5,C,1,0,8,,,8024
8254,1002258,P00003942,F,18-25,4,B,4+,0,5,14.0,,5260
8255,1003341,P00124342,M,26-35,20,B,4+,0,11,,,5905
8257,1003103,P00250642,M,26-35,20,C,4+,1,11,,,6094
8258,1003498,P00124642,M,26-35,17,C,3,0,16,,,20548
8259,1000828,P00294542,M,18-25,4,C,2,0,8,,,6087
8260,1001395,P00337942,M,26-35,2,B,1,1,5,,,5430
8262,1003688,P00120042,M,18-25,6,B,1,0,1,2.0,,19355
8263,1002627,P00370853,M,26-35,1,B,2,1,19,,,60
8264,1004437,P00234542,F,36-45,5,B,1,0,5,,,3427
8265,1002592,P00323742,M,51-55,7,B,1,1,8,,,8130
8267,1000770,P00206042,M,18-25,4,B,2,1,5,,,5293
8268,1000899,P00117542,F,26-35,1,B,3,1,18,,,1639
8269,1003430,P00025542,F,46-50,1,B,1,1,8,,,5959
8273,1000639,P00195842,M,46-50,17,B,2,1,3,4.0,8.0,8071
8274,1002820,P00224342,F,36-45,0,A,2,0,8,,,4044
8276,1004265,P00110842,M,26-35,12,C,1,0,1,2.0,5.0,19124
8277,1003993,P00370242,M,26-35,0,B,2,0,5,,,5193
8278,1000348,P00057542,M,51-55,7,B,2,1,3,4.0,5.0,8103
8281,1001378,P00113042,F,46-50,7,C,3,1,11,16.0,,7579
8282,1001392,P00110942,M,46-50,3,C,1,1,1,2.0,,19441
8283,1001219,P00130742,M,26-35,7,C,3,1,1,14.0,17.0,19416
8284,1005353,P00313542,M,26-35,6,C,4+,1,5,8.0,,7183
8287,1005989,P00034242,F,0-17,10,C,3,0,5,8.0,14.0,8818
8288,1005367,P00087442,M,18-25,4,A,1,0,5,,,5389
8289,1002766,P00113742,M,46-50,7,C,1,1,5,14.0,,8759
8290,1002258,P00246342,F,18-25,4,B,4+,0,11,15.0,,5941
8291,1004774,P00274942,M,46-50,14,C,4+,1,8,,,9827
8292,1002868,P00085342,M,36-45,12,B,3,0,10,13.0,,23088
8294,1002116,P00034142,M,18-25,4,B,4+,1,8,13.0,16.0,7940
8295,1000173,P00270542,M,26-35,0,B,1,1,1,6.0,8.0,19002
8296,1002544,P00120242,M,46-50,1,B,1,0,8,,,7964
8297,1004370,P00279542,M,26-35,16,C,4+,0,8,,,5911
8298,1005664,P00073842,M,18-25,4,C,4+,0,1,15.0,17.0,15255
8299,1002567,P00285242,M,26-35,0,C,1,0,17,,,10226
8300,1003618,P00052642,M,55+,17,A,4+,1,5,14.0,,7076
8301,1004339,P00286742,M,26-35,2,C,3,0,1,16.0,,19128
8302,1001749,P00039742,M,26-35,2,B,1,1,5,,,5218
8303,1001425,P00286842,M,0-17,10,B,1,0,5,8.0,,8856
8304,1001917,P00266642,M,18-25,10,B,1,0,1,8.0,9.0,11755
8305,1005647,P00264042,M,18-25,1,C,2,0,4,,,1495
8307,1003745,P00030942,F,26-35,9,C,4+,0,4,5.0,9.0,2095
8309,1000802,P00057942,M,26-35,16,B,1,0,1,2.0,6.0,15695
8310,1001752,P00248042,M,26-35,3,B,1,0,8,,,9980
8311,1000518,P00152042,F,36-45,12,C,4+,0,14,,,15207
8312,1003806,P00359642,M,18-25,4,A,4+,0,11,,,4420
8316,1002787,P00250842,M,26-35,4,A,4+,0,8,,,1948
8318,1005080,P00196542,F,51-55,12,B,2,1,5,8.0,14.0,5454
8319,1003425,P00021942,M,18-25,20,A,1,0,8,16.0,,1991
8320,1000360,P00277642,M,36-45,17,C,1,0,2,3.0,10.0,12905
8321,1001724,P00145442,M,18-25,4,C,3,0,8,15.0,,6006
8323,1002772,P00317842,M,36-45,17,A,3,1,8,,,6062
8324,1001476,P00004842,F,18-25,0,B,0,0,3,4.0,12.0,5438
8325,1005531,P00034042,M,51-55,17,C,0,1,1,2.0,16.0,15781
8326,1003001,P00153742,M,18-25,4,B,1,0,8,,,10065
8327,1000443,P00190242,M,26-35,3,A,0,1,4,5.0,,2091
8328,1004287,P00345742,M,26-35,7,C,2,1,1,2.0,15.0,11578
8330,1002943,P00313442,M,36-45,12,C,1,0,5,6.0,8.0,8787
8331,1001121,P00357842,M,55+,7,C,4+,1,5,,,3702
8333,1004790,P00082942,F,26-35,2,A,4+,1,8,,,8017
8334,1003029,P00368642,M,18-25,4,A,4+,0,11,15.0,,7362
8336,1003499,P00127642,M,26-35,3,A,2,0,1,2.0,15.0,19347
8338,1000347,P00126042,F,55+,1,A,1,0,8,14.0,,7866
8341,1001752,P00191342,M,26-35,3,B,1,0,2,4.0,9.0,9833
8342,1002894,P00334242,M,18-25,4,B,4+,0,1,8.0,,18996
8344,1001380,P00127042,M,0-17,10,C,0,0,4,5.0,,2061
8345,1004036,P00210542,M,26-35,1,C,2,1,5,,,7046
8346,1004362,P00251442,M,26-35,17,B,4+,0,5,,,6970
8348,1004591,P00309242,M,26-35,15,A,3,0,5,8.0,,5478
8349,1000665,P00113042,M,18-25,2,C,4+,1,11,16.0,,7449
8350,1001569,P00086342,F,55+,13,C,1,1,8,,,10018
8351,1000169,P00271142,M,26-35,7,B,3,0,5,,,8698
8352,1005091,P00255942,M,26-35,17,B,1,1,1,16.0,,15296
8353,1001434,P00181342,F,0-17,10,A,0,0,11,,,6032
8354,1003475,P00221042,M,26-35,14,A,1,0,1,17.0,,4108
8355,1000240,P00101342,M,51-55,17,A,1,1,6,8.0,,16270
8356,1004028,P00245642,M,26-35,4,A,2,0,5,11.0,12.0,8889
8357,1001756,P00289942,F,26-35,1,B,2,1,3,4.0,5.0,13637
8359,1003349,P00220142,F,18-25,4,B,1,0,1,15.0,,19395
8360,1002022,P00004742,M,26-35,7,C,1,0,6,16.0,,20002
8361,1000157,P00112442,M,36-45,16,A,1,0,6,8.0,,16048
8362,1001579,P00021742,M,26-35,0,A,0,0,5,,,7060
8363,1001112,P00125942,M,18-25,6,A,4+,0,1,2.0,15.0,15540
8364,1002436,P00315742,M,26-35,7,B,2,0,5,,,5431
8366,1003006,P00355142,M,18-25,4,B,4+,1,1,15.0,,15447
8367,1000765,P00226242,M,26-35,17,B,1,0,11,15.0,,3054
8369,1001355,P00090942,F,46-50,20,A,3,0,1,2.0,14.0,15642
8370,1005016,P00051442,F,36-45,1,C,2,1,8,17.0,,9727
8371,1004498,P00001042,M,51-55,7,C,1,1,1,2.0,16.0,15251
8373,1000109,P00243942,M,46-50,15,C,1,1,1,2.0,15.0,15308
8374,1002579,P00048842,M,36-45,15,C,4+,0,8,,,6149
8375,1001939,P00085542,F,36-45,2,C,3,0,5,14.0,,6967
8376,1004490,P00304442,M,36-45,5,B,1,0,1,16.0,,15646
8377,1002907,P00286742,F,36-45,5,A,4+,0,1,16.0,,15429
8378,1005204,P00117942,M,51-55,13,C,4+,1,5,15.0,,8817
8379,1002820,P00215242,F,36-45,0,A,2,0,1,2.0,8.0,7685
8380,1001948,P00136742,M,0-17,10,B,3,0,1,14.0,16.0,4233
8381,1002751,P00105942,F,26-35,16,C,3,1,5,,,6867
8382,1005475,P00240442,M,26-35,4,A,2,0,6,16.0,,8092
8383,1004522,P00294142,M,46-50,1,C,0,1,5,8.0,15.0,3540
8384,1001501,P00216242,M,26-35,11,A,3,0,3,4.0,5.0,5501
8385,1004404,P00219542,M,26-35,1,B,1,0,5,6.0,,5179
8386,1001303,P00194442,M,26-35,19,A,4+,0,5,,,3480
8388,1005787,P00195342,M,26-35,20,B,0,0,2,5.0,,9537
8389,1001501,P00195742,M,26-35,11,A,3,0,3,4.0,,10626
8390,1001500,P00178642,M,26-35,17,A,2,0,5,15.0,,7007
8391,1004352,P00058142,M,18-25,4,B,0,0,3,4.0,12.0,7996
8392,1003868,P00028442,M,18-25,12,C,0,0,1,8.0,16.0,11620
8393,1000026,P00077942,M,26-35,7,B,2,1,5,,,3427
8394,1003713,P00030942,F,26-35,7,B,1,1,4,5.0,9.0,2871
8395,1001328,P00110942,M,36-45,14,A,1,0,1,2.0,,19390
8396,1004004,P00289242,M,51-55,0,C,1,1,1,8.0,,11380
8397,1003402,P00216742,M,36-45,20,B,4+,0,5,,,7166
8398,1000424,P00368142,M,26-35,17,A,3,0,2,15.0,,12984
8399,1003425,P00114042,M,18-25,20,A,1,0,5,14.0,,7014
8400,1001532,P00010842,M,18-25,14,C,3,0,8,16.0,,9802
8401,1003729,P00085942,M,18-25,4,A,2,0,2,4.0,8.0,10139
8402,1004819,P00344742,M,36-45,18,B,1,0,5,,,6882
8403,1003875,P00220242,M,26-35,0,C,4+,0,3,12.0,,10572
8404,1005880,P00209742,M,26-35,1,A,1,1,1,11.0,15.0,11672
8405,1000543,P00222042,M,26-35,5,B,4+,1,1,8.0,,11707
8406,1004750,P00128242,F,26-35,0,A,2,0,5,12.0,14.0,8792
8407,1002231,P00321442,M,51-55,11,B,1,1,13,16.0,,387
8408,1001303,P00323942,M,26-35,19,A,4+,0,8,15.0,,9859
8409,1002109,P00024942,M,26-35,16,B,2,0,5,,,3761
8410,1004707,P00053842,M,0-17,0,C,4+,0,4,5.0,12.0,2784
8412,1002389,P00322942,M,26-35,16,A,0,1,2,8.0,16.0,10155
8413,1001067,P00156042,M,36-45,12,B,3,1,8,,,9739
8414,1001059,P00223542,F,26-35,0,B,3,0,1,8.0,17.0,12040
8416,1003675,P00055642,M,36-45,7,B,3,0,4,5.0,,1469
8417,1002507,P00339342,M,26-35,4,A,0,1,1,,,15825
8418,1001125,P00138442,F,18-25,4,B,2,0,1,2.0,16.0,15778
8419,1000984,P00362342,M,51-55,16,A,2,1,5,,,5239
8420,1003903,P00119742,M,26-35,0,C,1,0,5,8.0,12.0,5408
8421,1005325,P00251242,F,51-55,7,C,3,1,5,11.0,,7061
8422,1003967,P00196342,F,18-25,2,A,1,0,2,9.0,14.0,6399
8423,1002371,P00234542,F,36-45,7,C,2,0,5,,,8675
8424,1003852,P00191342,M,51-55,16,B,4+,1,2,4.0,9.0,6481
8425,1004135,P00283942,M,0-17,10,C,1,0,5,,,8574
8427,1000651,P00059442,M,36-45,7,B,2,0,6,8.0,16.0,16489
8428,1003283,P00275842,M,36-45,16,C,0,1,2,9.0,15.0,16073
8429,1001894,P00022942,F,36-45,7,B,0,1,5,8.0,,6938
8432,1001019,P00214442,M,36-45,1,A,4+,1,8,,,6127
8433,1002529,P00150942,F,36-45,9,A,3,0,6,11.0,13.0,20325
8434,1005450,P00153742,M,18-25,12,A,1,0,8,,,7818
8435,1004277,P00002342,M,36-45,16,A,0,0,16,,,12247
8436,1001738,P00294542,M,36-45,16,C,0,0,8,,,9809
8437,1002489,P00251242,F,36-45,9,B,1,0,5,11.0,,6971
8438,1002324,P00085942,M,36-45,17,C,3,0,2,4.0,8.0,9667
8439,1005434,P00286542,F,26-35,7,A,1,1,8,,,6096
8440,1005256,P00049842,M,26-35,16,B,4+,1,1,8.0,,11442
8442,1000721,P00028442,F,36-45,9,B,1,0,1,8.0,16.0,19283
8443,1002024,P00347142,M,0-17,19,C,2,0,5,,,3681
8445,1005794,P00088242,M,36-45,17,A,1,0,6,10.0,13.0,20684
8446,1004115,P00274242,M,26-35,15,B,1,0,1,,,19483
8447,1002592,P00115142,M,51-55,7,B,1,1,1,8.0,17.0,15177
8449,1003292,P00002642,F,51-55,6,B,3,0,8,,,7765
8450,1005172,P00161442,F,36-45,11,B,1,0,5,14.0,,5343
8452,1001164,P00009242,F,26-35,19,A,1,1,8,,,7955
8454,1000149,P00086442,M,26-35,1,B,2,1,8,13.0,15.0,7905
8457,1003768,P00291042,M,26-35,4,B,2,0,8,,,6153
8458,1004717,P00315642,M,46-50,17,C,4+,1,8,13.0,,7956
8459,1004867,P00147942,M,26-35,16,A,3,0,1,16.0,,11996
8461,1005046,P00329642,M,26-35,16,A,0,0,8,14.0,,3952
8462,1001103,P00196142,F,46-50,7,C,2,0,3,4.0,5.0,8235
8463,1000348,P00331242,M,51-55,7,B,2,1,12,17.0,,687
8464,1002205,P00228242,F,26-35,7,A,3,1,8,,,4209
8466,1002148,P00284642,F,18-25,0,B,0,1,5,8.0,,5209
8469,1002271,P00110842,M,51-55,14,A,1,0,1,2.0,5.0,19622
8470,1000630,P00148642,F,36-45,14,C,2,0,6,10.0,13.0,16660
8472,1003213,P00043842,F,26-35,1,C,3,0,8,13.0,14.0,4092
8473,1004315,P00006442,M,18-25,4,C,2,0,5,,,6893
8474,1005996,P00227542,F,26-35,0,B,1,1,13,,,943
8476,1003864,P00354742,M,51-55,20,C,0,1,8,,,9762
8477,1001837,P00227742,M,26-35,2,B,1,0,5,14.0,,5327
8478,1004621,P00253542,M,26-35,4,C,2,1,8,,,5926
8479,1004829,P00173542,M,26-35,0,B,2,0,5,8.0,,7038
8480,1004921,P00352142,F,26-35,15,B,3,1,1,6.0,16.0,15382
8481,1003108,P00220942,M,51-55,6,B,1,1,18,,,3150
8483,1005683,P00057942,F,18-25,9,B,0,1,1,2.0,6.0,12046
8484,1005026,P00177342,M,26-35,17,B,1,1,8,,,6032
8485,1003087,P00185442,F,0-17,1,B,0,0,15,,,13045
8486,1000482,P00173342,M,26-35,14,A,2,1,1,6.0,14.0,18952
8488,1005638,P00274942,M,18-25,1,C,0,0,8,,,10016
8489,1004728,P00105342,M,26-35,19,B,3,0,1,2.0,15.0,15391
8490,1003543,P00086642,M,26-35,17,C,2,1,8,,,9716
8491,1000208,P00343042,M,36-45,17,C,1,1,5,18.0,,6975
8494,1001671,P00345842,M,36-45,0,B,2,0,2,8.0,14.0,10022
8497,1002665,P00164042,M,36-45,11,B,1,0,4,5.0,8.0,2803
8498,1002219,P00197242,M,26-35,6,C,3,0,4,5.0,,739
8499,1004279,P00082242,M,26-35,16,B,1,0,11,,,4516
8501,1000161,P00003442,M,46-50,16,C,4+,1,4,5.0,8.0,3538
8502,1005643,P00278242,F,36-45,1,A,3,1,1,,,3844
8503,1002999,P00355742,M,26-35,7,C,2,0,3,4.0,,3004
8504,1003829,P00027242,F,26-35,1,B,1,0,5,,,8875
8505,1002090,P00344742,M,36-45,17,C,2,0,5,,,6984
8506,1000268,P00048742,F,18-25,12,C,1,0,5,,,7082
8507,1002446,P00127942,M,18-25,7,B,0,0,1,2.0,5.0,11985
8508,1003308,P00163542,F,18-25,20,B,3,1,2,4.0,5.0,9678
8509,1005522,P00346042,M,26-35,14,B,0,0,6,8.0,15.0,12335
8510,1005488,P00183242,M,26-35,15,C,1,0,5,15.0,,5380
8511,1004496,P00240142,M,46-50,2,C,4+,0,5,,,8826
8514,1003940,P00102542,M,36-45,20,B,3,1,8,,,8104
8515,1002921,P00003242,M,51-55,1,C,2,0,8,15.0,,9936
8516,1000770,P00105142,M,18-25,4,B,2,1,1,2.0,15.0,7608
8518,1001932,P00330342,M,26-35,7,A,4+,0,5,11.0,16.0,7119
8519,1001635,P00146042,M,26-35,0,B,1,0,1,13.0,15.0,12121
8520,1004139,P00034742,M,55+,14,B,1,1,5,14.0,17.0,8689
8521,1003108,P00146042,M,51-55,6,B,1,1,1,13.0,15.0,4395
8522,1002533,P00304642,F,26-35,3,B,1,0,2,14.0,15.0,13097
8523,1004541,P0095642,M,0-17,10,B,1,0,5,,,5183
8524,1003970,P00125942,F,26-35,2,C,2,1,1,2.0,15.0,15796
8525,1000588,P00000142,F,26-35,11,B,1,0,3,4.0,5.0,7942
8526,1001916,P00029242,M,46-50,7,B,0,0,8,,,7973
8527,1002344,P00052842,M,26-35,12,A,1,0,10,15.0,,19050
8528,1000749,P00089342,M,36-45,18,B,0,0,8,,,7885
8530,1005731,P00216142,F,26-35,11,B,2,1,1,16.0,,15588
8531,1003038,P00065042,F,36-45,2,A,1,1,5,15.0,,7039
8532,1001599,P00370342,M,26-35,0,A,1,0,8,,,8122
8533,1003167,P00046942,M,26-35,2,C,3,0,16,,,20573
8534,1004511,P00346142,M,36-45,7,C,2,0,1,15.0,,19593
8536,1000808,P00006942,M,26-35,7,B,1,1,1,5.0,6.0,15307
8537,1002798,P00003642,M,36-45,20,B,1,0,8,,,8036
8538,1003045,P00177442,M,46-50,1,B,2,1,1,6.0,8.0,15398
8540,1005663,P00122642,F,36-45,20,B,4+,0,11,,,4562
8541,1001941,P00179042,M,36-45,17,A,1,0,11,,,1562
8542,1001339,P00178942,M,36-45,18,C,2,0,5,8.0,,8859
8543,1004079,P00100442,M,36-45,17,B,3,1,2,4.0,5.0,3769
8544,1001530,P00295342,M,26-35,4,A,1,1,2,8.0,,13018
8546,1003626,P00288942,M,26-35,17,B,3,0,1,2.0,5.0,12083
8548,1001897,P00145942,F,51-55,2,A,1,1,6,8.0,13.0,16201
8549,1005786,P00220942,M,26-35,6,B,1,1,18,,,3047
8554,1001303,P00152142,M,26-35,19,A,4+,0,7,,,12610
8555,1005368,P00015542,F,26-35,17,C,1,0,1,2.0,13.0,4365
8556,1001220,P00055642,M,0-17,10,A,3,0,4,5.0,,2866
8557,1004568,P00313042,F,26-35,4,B,2,1,5,14.0,,7029
8558,1001891,P00127842,M,46-50,1,C,3,1,1,2.0,15.0,11997
8559,1001470,P00108442,M,18-25,4,A,1,1,5,,,7078
8560,1005220,P00130742,M,26-35,7,B,4+,0,1,14.0,17.0,8305
8562,1001017,P00217042,M,36-45,0,B,2,0,8,,,2218
8563,1001712,P00142142,M,26-35,0,B,4+,0,1,2.0,15.0,19602
8564,1003890,P00042842,M,18-25,4,C,3,0,5,,,8711
8565,1001575,P00233542,F,51-55,7,C,4+,1,1,15.0,,12005
8566,1004603,P00345842,F,36-45,2,C,2,1,2,8.0,14.0,6631
8567,1001288,P00315642,F,36-45,19,C,1,0,8,13.0,,6147
8568,1005113,P00212742,M,26-35,0,A,3,1,5,,,5352
8569,1005759,P00020342,F,26-35,1,A,2,0,1,2.0,,15359
8572,1004390,P00371644,M,26-35,0,B,2,0,20,,,594
8573,1003895,P00198642,F,36-45,0,C,0,1,8,14.0,,8001
8574,1002888,P00199442,M,26-35,14,B,2,1,5,9.0,,6890
8575,1000787,P00250242,M,18-25,4,C,2,0,5,,,3498
8576,1002321,P00225542,M,26-35,7,B,4+,1,5,8.0,,7018
8577,1001503,P00205942,M,26-35,12,A,2,0,5,8.0,14.0,6919
8578,1004438,P00002542,M,51-55,0,C,2,0,8,14.0,,5959
8579,1003665,P00062842,M,26-35,0,A,2,0,1,2.0,13.0,15423
8581,1005752,P00310842,F,55+,0,B,3,1,6,8.0,10.0,12498
8584,1002402,P00100842,M,46-50,17,B,4+,0,5,,,5183
8585,1001172,P00273542,F,26-35,0,A,2,1,8,14.0,,8065
8586,1004015,P00129642,F,46-50,3,B,2,1,5,,,3676
8587,1002852,P00220142,M,26-35,12,C,1,0,1,15.0,,11524
8588,1003965,P00041942,M,18-25,11,C,3,0,5,18.0,,5270
8589,1003941,P00069242,M,46-50,17,C,0,1,8,11.0,,6084
8590,1002926,P00078142,F,18-25,2,B,1,0,8,16.0,,5943
8592,1000958,P00287442,M,36-45,2,C,3,0,8,,,7942
8593,1005427,P00084442,M,36-45,19,B,0,0,13,16.0,,749
8594,1005771,P00232742,M,26-35,7,A,1,0,8,,,2141
8595,1001897,P00209842,F,51-55,2,A,1,1,5,8.0,,6877
8596,1000387,P00370293,F,36-45,7,C,0,0,19,,,12
8597,1004345,P00350942,F,26-35,14,B,1,0,3,4.0,5.0,13562
8598,1005625,P00343042,M,26-35,1,C,3,1,5,18.0,,6996
8599,1005785,P00153742,F,26-35,7,B,2,1,8,,,8084
8600,1001733,P00311242,M,18-25,14,B,0,1,7,,,20488
8603,1004101,P00370293,M,18-25,4,C,3,0,19,,,38
8605,1005054,P00118142,M,36-45,2,B,0,0,8,17.0,,5883
8606,1002947,P0097742,F,26-35,0,A,1,1,8,,,7837
8607,1000314,P00113642,F,55+,9,C,1,0,8,,,6086
8608,1000150,P00101942,M,36-45,7,B,0,1,8,17.0,,7995
8609,1002781,P00287542,M,36-45,4,C,2,1,8,,,9829
8611,1000062,P00033042,F,36-45,3,A,1,0,5,14.0,,6975
8612,1004121,P00127542,M,46-50,7,B,3,0,1,2.0,15.0,11677
8613,1003691,P00182242,M,26-35,7,B,1,1,1,5.0,6.0,15727
8614,1003585,P00326942,M,36-45,20,A,0,1,5,14.0,,7132
8615,1003808,P00040042,M,26-35,7,A,2,1,5,,,5344
8616,1002124,P00204942,M,26-35,0,B,1,1,5,8.0,,8670
8617,1004705,P00266942,F,18-25,0,C,0,1,8,13.0,14.0,7810
8618,1004567,P00005042,M,18-25,4,A,0,0,6,16.0,,16180
8619,1000889,P00178642,M,46-50,20,A,1,0,5,15.0,,3494
8621,1003678,P00151742,M,26-35,0,A,0,0,8,15.0,16.0,5957
8622,1004579,P00338842,F,18-25,4,B,1,1,11,16.0,,6148
8624,1005428,P00113642,F,26-35,6,B,4+,0,8,,,9827
8625,1005852,P00277642,F,26-35,1,A,0,1,2,3.0,10.0,3278
8626,1005376,P00051642,M,26-35,17,B,1,1,8,,,7966
8627,1002611,P00120042,M,26-35,3,B,4+,0,1,2.0,,19619
8628,1000872,P00089142,M,51-55,1,B,3,1,5,,,8699
8629,1003569,P00178242,F,18-25,2,B,1,0,8,,,8046
8632,1003967,P00335242,F,18-25,2,A,1,0,5,8.0,,3682
8633,1004305,P00355542,F,46-50,17,B,1,1,16,,,16324
8634,1005811,P00250642,M,18-25,4,B,3,0,11,,,4637
8635,1004490,P00090942,M,36-45,5,B,1,0,1,2.0,14.0,19576
8636,1004139,P00026642,M,55+,14,B,1,1,8,,,7937
8637,1003766,P00014842,F,18-25,1,B,1,0,1,2.0,5.0,11396
8639,1004144,P00080342,M,18-25,4,C,3,0,1,6.0,8.0,19542
8640,1001671,P00102142,M,36-45,0,B,2,0,13,16.0,,767
8641,1000175,P00265142,F,26-35,2,B,1,0,3,12.0,,13510
8642,1005950,P00048742,M,26-35,4,B,2,1,5,,,3744
8643,1000824,P00189042,M,36-45,12,A,2,1,8,,,10060
8644,1002382,P00178642,M,51-55,13,B,1,0,5,15.0,,5387
8645,1005468,P00032842,M,26-35,12,A,1,0,8,,,7923
8647,1000392,P00074642,M,18-25,7,A,0,0,5,9.0,14.0,5281
8648,1000635,P00093242,M,55+,17,C,4+,1,8,,,10002
8649,1002808,P00366442,M,55+,16,A,3,0,8,12.0,,6108
8650,1002897,P00118442,M,26-35,5,B,0,1,1,2.0,,15303
8651,1003685,P00307542,M,26-35,5,C,1,1,1,15.0,,15170
8653,1003689,P00155442,M,26-35,0,C,1,1,1,11.0,15.0,11457
8655,1001119,P00085942,M,36-45,1,B,2,1,2,4.0,8.0,15961
8656,1002106,P00129542,F,18-25,20,A,3,1,8,14.0,,7965
8657,1000615,P00370853,M,51-55,17,C,3,0,19,,,25
8658,1001613,P00174842,M,18-25,20,A,1,0,17,,,10593
8660,1004227,P00276142,M,26-35,19,A,0,0,12,,,388
